date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,district,fed_state,mean_incidence,num_of_entries
2020-03-20,3,0,2,-1,0,1,-2,4,2,1,1,0,0,1,LK Waldshut,Baden-Württemberg,17.583035886976244,1
2020-03-21,3,0,2,-4,0,-2,-2,4,2,1,1,0,0,1,LK Waldshut,Baden-Württemberg,19.34133947567387,1
2020-03-22,3,2,2,4,0,-2,-2,4,2,1,1,0,0,3,LK Waldshut,Baden-Württemberg,29.83255088823637,10
2020-04-01,3,2,2,4,0,-2,-2,4,2,1,1,1,0,3,LK Waldshut,Baden-Württemberg,47.35697665558935,5
2020-04-06,3,2,2,4,0,-2,-2,4,2,1,1,-2,0,3,LK Waldshut,Baden-Württemberg,28.16541859673047,18
2020-04-28,3,2,2,4,0,-2,-2,4,2,1,1,2,0,3,LK Waldshut,Baden-Württemberg,11.135922728418288,1
2020-04-30,3,2,2,4,0,-2,-2,4,2,3,1,2,0,3,LK Waldshut,Baden-Württemberg,8.791517943488124,2
2020-05-04,2,2,2,-4,0,-2,-2,4,2,3,1,2,0,3,LK Waldshut,Baden-Württemberg,,0
2020-05-06,2,2,2,-4,0,0,-2,4,2,3,1,2,0,3,LK Waldshut,Baden-Württemberg,1.7583035886976246,1
2020-05-07,2,-2,2,-4,0,0,-2,4,2,3,1,2,0,3,LK Waldshut,Baden-Württemberg,0.5861011962325415,1
2020-05-14,2,-2,2,-4,0,0,-2,4,2,3,1,2,0,-3,LK Waldshut,Baden-Württemberg,2.344404784930166,1
2020-05-16,2,-2,2,-4,0,0,-2,3,2,3,1,2,0,-3,LK Waldshut,Baden-Württemberg,,0
2020-05-23,-2,-2,2,-4,0,0,-2,3,2,3,1,2,0,2,LK Waldshut,Baden-Württemberg,0.7326264952906769,4
2020-07-04,-3,-2,2,-4,0,0,-2,3,2,3,2,2,0,2,LK Waldshut,Baden-Württemberg,0.8791517943488123,2
2020-07-07,1,-2,2,-3,0,0,-2,3,2,3,2,2,0,2,LK Waldshut,Baden-Württemberg,3.2460989329802308,13
2020-08-04,1,-2,2,-4,0,0,-2,3,2,3,2,2,0,2,LK Waldshut,Baden-Württemberg,4.249233672685926,4
